,Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Share of seats in parliament (% held by women),Vulnerable employment (% of total employment),Urban population (%),"Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male","Remittances, inflows (% of GDP)","Foreign direct investment, net inflows (% of GDP)","Infants lacking immunization, measles (% of one-year-olds)","Infants lacking immunization, DTP (% of one-year-olds)",Gross fixed capital formation (% of GDP),Inequality in education (%),Inequality in life expectancy (%),"Unemployment, youth (% ages 15?24)",Private capital flows (% of GDP),Exports and imports (% of GDP),"Unemployment, total (% of labour force)",Youth not in school or employment (% ages 15-24),Labour force participation rate (% ages 15 and older),Employment to population ratio (% ages 15 and older),Employment in agriculture (% of total employment),Employment in services (% of total employment),Working poor at PPP$3.20 a day (% of total employment),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Gross capital formation (% of GDP),Overall loss in HDI due to inequality (%),Inequality in income (%),"Gross domestic product (GDP), total (2017 PPP $ billions)",GDP per capita (2017 PPP $),Gross national income (GNI) per capita (constant 2017 PPP$),"Estimated gross national income per capita, female (2017 PPP $)","Estimated gross national income per capita, male (2017 PPP $)",Gender Inequality Index (GII),Inequality-adjusted education index,Inequality-adjusted life expectancy index,Life expectancy index,Income index,Education index,Human Development Index (HDI),Gender Development Index (GDI),"Human Development Index (HDI), female","Human Development Index (HDI), male",Inequality-adjusted income index,"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Expected years of schooling, female (years)","Expected years of schooling, male (years)",Total population (millions),Population ages 15?64 (millions),Population ages 65 and older (millions),Population under age 5 (millions),"Adolescent birth rate (births per 1,000 women ages 15-19)",Sex ratio at birth (male to female births),Young age (0-14) dependency ratio (per 100 people ages 15-64),Old-age (65 and older) dependency ratio (per 100 people ages 15-64),HDI rank,Total unemployment rate (female to male ratio),Youth unemployment rate (female to male ratio),Coefficient of human inequality,Inequality-adjusted HDI (IHDI)
MNE,91.619,87.963,98.186,28.395,13.257,67.2,46.484,62.778,10.632,8.267,58.0,6.0,27.675,7.815,3.6,30.715,-12.979,109.454,14.883,15.666,54.443,46.341,7.933,72.96,0.272,43.561,31.131,9.65,16.924,13.3,21378.575,21399.247,17517.907,25367.787,0.109,0.74,0.844,0.875,0.811,0.803,0.829,0.966,0.814,0.843,0.673,10.934,12.293,76.88,15.0,11.589,79.303,74.441,15.373,14.655,0.628,0.417,0.097,0.037,9.313,1.07,27.31,23.154,48.0,1.106,0.809,9.446,0.749
MNG,89.011,91.491,86.133,17.333,48.486,68.5,53.304,66.384,4.147,17.638,2.0,1.0,31.535,11.884,13.1,16.306,-19.409,125.759,6.011,20.73,59.676,56.089,27.424,53.212,2.018,47.75,35.917,13.976,16.946,39.701,12309.771,10838.674,8755.745,12980.953,0.322,0.649,0.667,0.767,0.708,0.736,0.737,1.023,0.744,0.727,0.588,10.71,9.728,69.87,14.207,10.251,74.142,65.799,14.754,13.659,3.225,2.097,0.135,0.379,30.993,1.03,47.373,6.444,99.0,0.889,1.498,13.977,0.634
MOZ,16.95,13.963,19.907,41.2,83.146,36.5,77.281,79.005,1.647,1.175087213580035,13.0,7.0,24.738,33.8,29.8,6.869,7.011577610062652,112.151,3.241,17.662,78.097,75.566,70.335,21.215,73.841,34.772,43.87,30.702,28.4,38.882,1280.45,1250.406,1131.018,1376.873,0.523,0.262,0.441,0.628,0.382,0.395,0.456,0.912,0.435,0.476,0.273,2.705,4.495,60.85,9.974,3.541,63.671,57.782,9.486,10.468,30.366,16.019,0.874,5.048,148.626,1.02,84.104,5.456,181.0,1.148,0.956,30.667,0.316
MRT,18.954,12.749,25.037,20.261,52.503,54.5,28.85,63.055,0.795,-1.1447799681031938,22.0,11.0,37.077,40.8,30.0,14.768,-14.11787840718911,94.218,9.548,39.889,45.884,41.503,51.274,35.785,15.937,31.294,40.905,32.051,24.6,23.52,5197.029,5134.57,2782.235,7468.28,0.634,0.234,0.484,0.691,0.595,0.396,0.546,0.864,0.5,0.579,0.449,3.804,5.626,64.93,8.588,4.726,66.515,63.305,8.688,8.492,4.526,2.578,0.143,0.679,71.049,1.05,70.036,5.542,157.0,1.448,1.2,31.8,0.371
MUS,67.2,65.826,68.471,20.0,16.171,40.8,45.151,71.985,1.261,7.273239899580574,1.0,3.0,19.809,13.2,9.4,23.879,-4.828986313995934,92.809,6.674,20.971,58.313,54.421,6.072,68.642,0.481,38.482,20.027,13.682,18.2,29.098,22989.342,25266.212,15870.126,34898.005,0.347,0.639,0.766,0.846,0.836,0.736,0.804,0.976,0.791,0.811,0.684,9.42,9.67,74.99,15.057,9.54,78.458,71.652,15.715,14.416,1.27,0.898,0.152,0.065,25.735,1.04,24.399,16.962,66.0,2.219,1.696,13.6,0.694
MWI,21.877,17.58,26.052,22.917,59.189,17.2,72.593,81.102,2.369,1.0094856663125498,8.0,3.0,12.308,28.4,25.1,7.519,23.88960465981371,66.605,5.653,9.247,76.718,72.381,43.649,42.545,86.898,48.511,12.308,28.571,32.4,19.741,1059.723,1034.678,838.252,1236.625,0.565,0.336,0.51,0.681,0.353,0.47,0.483,0.986,0.493,0.5,0.239,6.882,5.24,64.26,11.242,4.73,67.413,61.101,11.155,11.328,18.629,10.039,0.492,2.877,132.671,1.03,80.663,4.903,174.0,1.397,1.158,28.633,0.345
MYS,74.725,72.2,76.526,15.517,21.789,76.6,50.748,77.102,0.455,6.265803497596014,3.0,1.0,22.956,12.1,6.1,11.262,0.0769418817144718,123.091,3.324,12.051,64.289,62.152,10.361,62.642,0.046,39.937,20.922,13.488698511357477,21.400933574860066,905.795,28350.59,27534.099,20824.623,33877.305,0.253,0.638,0.811,0.864,0.849,0.726,0.81,0.972,0.797,0.821,0.6622300774571709,10.273,10.47,76.16,13.679,10.373,78.317,74.234,14.039,13.34,31.95,22.168,2.211,2.62,13.414,1.06,34.15,9.975,62.0,1.22,1.125,13.80079730397128,0.708016436153406
NAM,41.199,40.567,42.004,36.957,31.02,51.0,56.089,63.331,0.412,-0.101,20.0,8.0,16.151,25.0,22.1,39.526,-0.382,83.476,20.273,33.67,59.534,47.464,22.133,61.594,14.632,50.892,12.745,35.294,53.6,24.04,9637.181,9356.674,8481.91,10287.012,0.44,0.438,0.524,0.672,0.686,0.584,0.646,1.007,0.648,0.643,0.318,7.33,6.686,63.71,12.633,6.99,66.516,60.685,12.729,12.538,2.495,1.484,0.09,0.334,63.627,1.01,62.041,6.065,130.0,0.944,1.073,33.567,0.418
NER,6.686,4.66,9.0,16.959,93.676,16.5,60.586,83.671,2.478,-3.2529363858057962,21.0,8.0,30.191,35.0,30.9,0.638,3.2037923019545893,39.713,0.475,25.871,72.042,71.7,75.063,17.743,73.823,51.299,30.526,27.919,16.4,28.418,1219.077,1200.898,535.968,1859.12,0.642,0.162,0.451,0.653,0.375,0.249,0.394,0.724,0.321,0.443,0.314,1.4,2.813,62.42,6.471,2.079,63.621,61.281,5.731,7.172,23.311,11.087,0.605,4.642,186.538,1.05,104.796,5.46,189.0,0.644,0.446,27.433,0.284
NGA,53.873010802963265,45.561833215750326,62.19775924765377,4.113,77.612,51.2,47.872,57.875,5.311,1.524543772431464,46.0,35.0,22.008857602390094,40.415,37.1,13.955,8.187974334228528,60.06702797196455,8.096,22.007,52.907,48.623,35.098,52.669,61.978,52.276,16.64244545422366,35.436,28.052,1032.048,5135.5,4910.208,4107.124,5691.998,0.6050035755162593,0.297,0.336,0.534,0.588,0.499,0.539,0.881,0.504,0.572,0.423,5.652,7.689,54.69,9.975,6.655,55.619,53.789,9.365,10.58,200.964,107.655,5.513,33.409,107.33,1.06,81.553,5.121,161.0,1.198,1.58,35.189,0.348
NIC,47.77,48.464,46.798,44.565,40.87,58.8,49.669,84.232,13.208,4.183586494587615,1.0,1.0,17.533,25.7,13.1,12.969,-1.0231025939666196,95.076,6.837,16.732,66.405,61.864,30.652,53.415,22.974,51.074,17.135,23.485,30.694,35.392,5407.105,5283.659,4655.592,5929.936,0.428,0.425,0.728,0.838,0.599,0.573,0.66,1.012,0.663,0.655,0.415,7.18,6.62,74.49,12.318,6.912,77.982,70.944,12.583,12.053,6.546,4.234,0.357,0.661,84.99,1.05,46.153,8.437,128.0,0.967,1.478,23.165,0.505
NLD,88.921,87.575,90.32,33.778,12.653,91.9,58.263,69.083,0.264,3.086,6.0,2.0,21.012,5.367,3.1,6.354,11.931,154.322,3.196,3.137,63.62,61.587,2.035,81.967,5.317943394462887,46.53,21.22,6.992,12.219,990.423,57141.37,57707.069,46815.152,68685.269,0.043,0.865,0.928,0.958,0.96,0.914,0.944,0.966,0.926,0.96,0.843,12.169,12.67,82.28,18.485,12.415,83.952,80.592,18.794,18.186,17.097,11.03,3.352,0.863,3.788,1.05,24.621,30.391,8.0,1.101,0.88,6.895,0.878
NOR,94.921,95.393,94.86,40.828,4.906,82.6,60.37,67.192,0.153,0.445,3.0,1.0,26.105,2.332,3.0,9.334,3.195,72.147,3.346,4.609,63.804,61.669,2.055,78.67,-4.318416948707991,47.54,28.994,6.061,12.562,340.303,63633.102,66494.252,58548.439,74279.895,0.045,0.908,0.931,0.96,0.982,0.93,0.957,0.99,0.949,0.959,0.858,12.977,12.817,82.4,18.066,12.898,84.377,80.447,18.759,17.414,5.379,3.513,0.929,0.301,5.141,1.06,26.66,26.445,1.0,0.944,0.983,5.965,0.899
NPL,36.212,29.274,44.16,33.533,78.415,20.2,82.8,85.104,26.526,7.267874046810832,8.0,4.0,33.681,40.9,17.5,2.304,-18.624985281709407,54.926,1.407,15.971,83.805,82.626,65.004,19.859,33.449,40.252,56.562,25.914,16.3,97.75,3416.791,3456.706,2910.334,4108.392,0.452,0.308,0.645,0.781,0.535,0.521,0.602,0.933,0.581,0.623,0.448,4.34,5.766,70.78,12.756,5.014,72.208,69.259,12.952,12.559,28.609,18.498,1.654,2.708,65.121,1.07,45.712,8.943,142.0,0.732,0.603,24.9,0.446
NRU,61.85697402911184,60.45573215524561,63.87309969734187,10.526,23.648613144092252,100.0,45.61316013733201,76.52333291935196,2.456757187055648,5.780274457878177,5.0,1.0,22.998064068558538,17.54972288421576,11.326192174678779,18.286937143347043,0.8431298146999424,99.214,7.535149481580042,20.278145611286746,62.53859712576629,58.142672510321106,5.929290180262981,71.42512705146996,-0.5659883004814006,35.41506659817694,24.558747067177283,17.797807595453083,23.292189377744737,0.146,11599.341,16237.481,10930.594397604536,20585.946001910772,0.3491226608838518,0.5417432130392692,0.7040394024133553,0.8084183750476186,0.769,0.6506446310781585,0.7367794728825672,0.9390978397110773,0.7135383717169523,0.7518740924735994,0.5881701047391701,8.783065350984499,8.8038542644759,72.6334591066851,11.234,8.737379281400008,74.9931293794194,70.39426303141374,11.821,10.79,0.011,10.970922727303087,8.365240157940399,-7.139419724826382,47.767629138438515,1.0517341698935094,45.22095737174379,13.811500320934979,95.10968730637464,1.5609427275122876,1.353965450401582,18.964288482189968,0.5952025582839602
NZL,97.165,97.388,96.851,40.833,12.087,86.6,64.772,75.335,0.209,1.908,8.0,6.0,22.57630647880361,1.84,4.3,11.233,-0.601,108.15213233243604,4.069,11.452,69.908,67.063,5.663,74.757,-5.1296038106859,48.422,24.262669145788866,7.734,16.4,210.878,42887.518,40798.72,31232.963,50692.96,0.123,0.909,0.917,0.958,0.908,0.926,0.931,0.964,0.912,0.946,0.759,12.715,12.856,82.29,18.839,12.782,83.981,80.571,19.745,17.918,4.783,3.082,0.765,0.301,19.27,1.06,30.364,24.82,14.0,1.195,1.067,7.513,0.859
OMN,66.633,73.409,63.66,9.884,2.633,85.4,30.986,89.895,0.051,4.240164522835972,1.0,1.0,24.497,11.949,6.7,13.186,-0.2625886769538326,100.686,2.671,19.804,72.369,70.436,4.56,62.688,0.229,12.037,28.936233413261466,13.161,20.1,138.784,27896.337,25944.072,7959.235,35201.079,0.306,0.633,0.831,0.89,0.84,0.718,0.813,0.936,0.768,0.821,0.671,10.647,9.371,77.86,14.182,9.732,80.343,76.127,14.973,13.707,4.975,3.739,0.122,0.451,13.056,1.05,29.8,3.254,60.0,9.002,3.724,12.916,0.706
PAK,37.319,27.569,45.659,20.0,55.483,36.9,21.919,81.743,8.023,0.797,25.0,14.0,14.011,43.5,29.9,8.884,-0.662,30.438,4.453,31.264,52.573,50.232,36.661,38.013,27.232,11.018,15.611,31.059,17.234,1015.796,4690.485,5005.035,1392.547,8412.345,0.538,0.227,0.51,0.727,0.591,0.402,0.557,0.745,0.456,0.612,0.489,3.831,6.251,67.27,8.276,5.159,68.287,66.337,7.579,8.922,216.565,131.289,9.361,27.668,38.802,1.09,57.823,7.13,154.0,1.345,0.936,30.211,0.384
PLW,97.123,96.889,97.331,13.793,15.738414990402521,80.5,52.08285089857459,71.6842432448187,4.132949402917334,6.848975108659193,3.0,1.0,23.697042873938077,1.9,7.442808263444741,17.276222897434522,-3.505198107697538,115.5201629889809,7.10293956796658,16.347579511672343,62.32142396648568,57.90058103171722,5.422778929846153,70.07972743281816,-8.570619360841803,43.628295863174294,23.6928205736335,10.719272837572577,22.123739247410242,0.324,18070.038,19316.975,13797.32216963994,24089.16457251876,0.22553876120562066,0.839,0.7595194871772529,0.83,0.795,0.855,0.826,0.979630880501294,0.8171177256108451,0.8309225798390119,0.6485132273782628,12.354100941613897,12.556195305130403,73.93,15.797,12.491,75.44384617173952,72.49816259035258,16.297,15.296,0.018,10.973641760947082,8.364465769878006,-7.137599620130955,22.743435843342404,1.0569334270428388,29.8030547058868,20.05516499481397,50.0,1.734560038230813,1.3983220164976078,12.173977313860249,0.7415632219174138
PRK,58.814870821958095,52.34266098814285,66.70780780708156,17.613,87.813,62.1,73.441,87.77,5.187759589654009,4.163401242281896,2.0,2.0,24.963300188594257,22.222248555143047,11.5,6.388,7.522668550761548,67.41446788949331,2.74,13.057,80.37,78.167,51.303,35.266,48.452,39.148,30.119547535680056,18.305615604619298,20.526395234492412,697.6137383990854,20909.316323118215,20260.234001021643,14872.30047106616,25153.53934432197,0.34096119551418647,0.5685019341479868,0.712,0.804,0.7125738921975624,0.6635700728679155,0.7210848322884351,0.9426302577213702,0.6985122999450317,0.7346859817477777,0.5573834609653536,8.180727568651148,9.083326334716334,72.27,10.783,8.612155792168501,75.744,68.615,10.422,11.145,25.666,18.158,2.376,1.743,0.283,1.05,28.26,13.086,70.89433402903778,0.75,0.78,14.26892555561732,0.6866947010313282
PSE,64.245,63.541,64.939,17.986161848229923,23.069,76.4,17.693,69.497,6.107363935736548,1.7760392151638342,1.0,1.0,21.963959916849454,11.592,12.0,41.963,-1.5677287229529,71.29033398407873,26.169,33.79,43.838,32.366,6.085,62.282,1.377,15.894,23.554928716052014,13.418,16.616,25.869,5661.634,6417.389,2045.186,10666.235,0.3902537748547108,0.599,0.732,0.832,0.629,0.678,0.708,0.87,0.638,0.733,0.524,8.949,9.378,74.05,13.409,9.166,75.755,72.416,14.286,12.565,4.981,2.898,0.158,0.69,52.766,1.05,66.435,5.455,115.0,1.822,1.84,13.403,0.613
ARE,78.918,76.023,81.029,50.0,0.932,86.8,52.391,93.389,0.3522317929487766,9.708917736826512,1.0,1.0,17.638,18.2,5.2,7.339,-3.3791375382308786,160.936,2.348,11.176,82.094,80.166,1.41,64.231,0.417,17.156,23.833,15.340929303940186,21.229226372579117,655.789,67119.133,67462.095,28577.658,84722.523,0.079,0.656,0.845,0.892,0.984,0.802,0.89,0.931,0.842,0.905,0.8163007039979683,11.677,12.428,77.97,14.344,12.111,79.314,77.291,14.81,14.114,9.771,8.219,0.113,0.501,6.546,1.05,17.508,1.375,31.0,3.878,2.261,9.532361353359207,0.8042528827800332
CHE,96.149,95.566,96.757,38.618,8.941,73.8,62.904,73.754,0.359,-2.615,5.0,2.0,24.074,1.829,3.5,7.398,4.743,119.439,4.581,6.056,68.253,65.126,2.949,76.845,2.77037971538212,46.877,22.337,6.911,14.934,588.472,68627.829,69393.521,57840.35,81136.609,0.025,0.883,0.947,0.981,0.988,0.9,0.955,0.968,0.934,0.965,0.841,12.67,13.558,83.78,16.328,13.381,85.596,81.874,16.236,16.419,8.591,5.689,1.618,0.449,2.763,1.05,22.562,28.447,2.0,1.079,0.638,6.754,0.889
ESP,77.722,75.37,80.238,41.857,10.982,80.6,51.853,63.429,0.229,1.325,2.0,2.0,20.015,16.869,3.0,32.899,-3.223,66.917,13.959,12.351,57.492,49.467,4.091,75.626,-13.113401584303972,46.0,20.849,13.385,19.467,1924.655,40883.325,40974.524,32880.977,49355.527,0.07,0.691,0.949,0.978,0.909,0.831,0.904,0.986,0.896,0.909,0.732,10.162,10.348,83.57,17.616,10.252,86.248,80.826,18.017,17.226,46.737,30.741,9.183,2.016,7.725,1.06,22.161,29.872,25.0,1.347,1.098,13.112,0.783
GBR,78.799,78.007,79.307,28.909,12.998,83.7,57.647,68.11,0.146,0.956,9.0,3.0,17.051,2.734,4.1,11.309,1.375,64.254,3.851,10.771,62.774,60.357,1.034,81.086,-13.677185342530244,47.176,17.394,8.155,17.014,3121.12,46699.302,46070.645,33322.817,59134.686,0.118,0.902,0.905,0.943,0.926,0.927,0.932,0.97,0.916,0.944,0.769,13.243,13.242,81.32,17.498,13.243,82.999,79.613,17.981,17.019,67.53,43.081,12.499,3.951,13.37,1.05,27.738,29.013,13.0,0.873,0.662,7.949,0.856
KNA,60.374049385012874,58.89023078076656,61.950554511916934,13.333,43.25374800037382,30.8,52.98444216055162,71.94872817635655,2.46,6.590814186143945,3.0,1.0,29.954,18.436688919916826,14.892766384515392,14.217266784501916,-5.9772748243334135,122.671,5.993462670813194,21.290477160037412,62.54463112391883,58.883279243820716,31.000187191783567,47.80164718443383,20.87876196038657,41.80869542044569,29.954,19.012827907638943,22.527572625588377,1.392,26356.551,25037.507,18462.05970850204,30802.176451940606,0.30762326624766445,0.5596300505124363,0.7513194975336762,0.842,0.834,0.673,0.779,0.9459224288495071,0.7558868699039776,0.7933386353067384,0.6395535155993464,8.270658432000351,9.102746234020369,74.76,13.845,8.663,75.55509578854743,74.07525186610583,14.004,13.687,0.053,10.987236929167016,8.36059382956606,-7.128499096653802,36.05744927845213,1.0541669970170522,38.00612931061248,16.73318401606874,74.0,1.6422390754171976,1.374749674103389,15.786733035391794,0.6636922211482768
LCA,45.954,49.22,42.064,20.69,29.597,18.8,59.537,74.999,2.025,7.612121459031091,4.0,1.0,26.774274016815284,12.6,10.6,45.226,-8.256582421595105,80.77450294482395,20.706,39.416,67.104,53.209,17.274,64.478,21.88896462441093,46.952,28.759618595878035,17.128,27.4,2.824,15448.794,14615.57,11475.907,17851.249,0.401,0.588,0.773,0.865,0.753,0.672,0.759,0.985,0.752,0.763,0.547,8.779,8.211,76.2,13.999,8.508,77.58,74.851,14.693,13.308,0.183,0.131,0.018,0.011,40.536,1.03,25.378,13.986,86.0,1.251,1.247,16.867,0.629
LKA,80.025,79.198,81.012,5.333,38.996,18.6,35.436,74.592,8.032,4.445318316977332,1.0,1.0,27.104,11.997,7.0,21.233,-9.536297844314127,52.371,4.198,30.341,53.915,51.652,24.517,45.826,6.719,32.5,27.388,13.939,22.364,285.142,13078.098,12707.366,7433.1,18423.277,0.401,0.657,0.815,0.877,0.732,0.746,0.782,0.955,0.759,0.794,0.568,10.621,10.648,76.98,14.111,10.633,80.261,73.596,14.46,13.761,21.324,13.904,2.311,1.677,20.926,1.04,36.74,16.623,72.0,2.326,1.768,13.787,0.673
PAN,72.204,74.83,68.565,21.127,34.218,68.1,53.428,79.906,0.87,9.084,3.0,4.0,26.9444192885593,11.372,12.0,10.035,-11.051,106.13133008556606,3.902,15.799,66.589,63.991,13.952,67.3,2.306,42.698,24.66370350639499,21.104,36.913,133.587,31458.693,29557.668,24049.684,35049.003,0.407,0.62,0.792,0.9,0.859,0.7,0.815,1.019,0.826,0.811,0.542,11.176,9.966,78.51,12.906,10.24,81.756,75.421,13.469,12.358,4.246,2.756,0.353,0.389,81.828,1.05,41.258,12.809,57.0,1.619,1.892,20.095,0.643
PER,64.095,58.943,69.374,30.0,50.418,78.1,70.281,85.143,1.466,4.74422082659985,15.0,3.0,21.168,16.968,10.8,8.366,-4.2119710000960495,47.122,3.31,16.934,77.633,75.063,27.386,57.268,9.47,46.672,20.853,19.176,28.577,417.691,12847.885,12252.3,9888.947,14646.97,0.395,0.614,0.779,0.873,0.726,0.74,0.777,0.957,0.759,0.793,0.519,9.148,10.258,76.74,14.991,9.696,79.507,74.06,14.893,15.088,32.51,21.571,2.729,2.81,56.882,1.05,38.061,12.65,79.0,1.057,1.313,18.782,0.628
PHL,73.22,75.594,72.388,28.049,32.699,47.1,46.1,73.258,9.333,2.03,33.0,34.0,27.158,10.1,15.3,6.191,-1.61,68.607,2.15,20.253,59.621,58.339,23.405,57.157,18.265,43.577,26.19,18.245,28.1,963.122,8908.176,9777.798,7843.035,11694.198,0.43,0.61,0.668,0.788,0.692,0.678,0.718,1.007,0.72,0.715,0.498,9.567,9.216,71.23,13.148,9.393,75.505,67.263,13.499,12.816,108.117,69.421,5.746,10.775,54.154,1.06,47.463,8.278,107.0,1.243,1.436,17.833,0.587
PNG,12.527,9.987,15.16,0.1,77.922,13.2,46.316,48.044,0.01,0.7511117073331732,63.0,56.0,24.70684513074169,35.652,24.1,4.49,0.5015614381859805,80.85426181232744,2.459,28.356,47.192,46.032,58.316,35.049,44.796,46.332,21.600201592419378,29.73,28.899,38.506,4387.602,4301.099,3766.675,4813.584,0.725,0.282,0.52,0.685,0.568,0.439,0.555,0.8623552588333859,0.5021240972782097,0.5840613496506888,0.404,3.96,5.334,64.5,10.199,4.66,65.82,63.271,10.040154012398027,10.318532743655307,8.776,5.354,0.308,1.096,52.655,1.08,58.169,5.753,155.0,0.397,0.613,29.55,0.39
POL,85.788,83.148,88.51,27.857,16.059,60.0,48.629,65.459,1.097,2.538,7.0,2.0,18.597,4.937,4.3,11.598,0.184,106.242,3.474,8.772,56.701,54.731,9.235,58.826,-6.893883497831396,45.227,19.576,7.614,13.477,1256.319,33086.39,31622.553,24826.792,38850.141,0.115,0.826,0.865,0.904,0.87,0.869,0.88,1.007,0.88,0.874,0.752,12.496,12.443,78.73,16.301,12.472,82.587,74.814,16.876,15.323,37.888,25.27,6.864,1.879,10.538,1.06,22.767,27.163,35.0,1.018,1.016,7.571,0.813
PRT,54.303,53.865,54.814,38.696,11.848,65.8,54.195,64.082,0.229,3.48,1.0,1.0,18.336,14.965,3.5,18.447,0.306,87.641,6.334,8.005,58.811,55.086,5.851,69.412,-8.2738233666364,49.872,18.9,11.921,16.929,357.355,34797.994,33966.828,28937.201,39571.338,0.075,0.653,0.921,0.955,0.88,0.768,0.864,0.988,0.858,0.868,0.731,9.366,9.143,82.05,16.536,9.263,84.853,79.032,16.475,16.598,10.226,6.585,2.286,0.406,8.38,1.06,20.58,34.722,38.0,1.209,1.21,11.798,0.761
PRY,50.089,49.249,51.16,16.8,37.484,61.9,59.22,84.606,1.742,1.023,13.0,12.0,18.499,16.719,13.8,11.417,-2.564,69.158,4.809,17.343,72.094,68.627,20.13,61.711,1.618,42.875,22.409,23.489,37.799,89.358,12684.596,12223.94,8855.067,15482.612,0.446,0.531,0.719,0.835,0.726,0.638,0.728,0.966,0.714,0.739,0.452,8.544,8.526,74.25,12.71,8.535,76.396,72.263,13.048,12.37,7.045,4.523,0.466,0.698,70.504,1.05,45.451,10.313,103.0,1.395,1.399,22.773,0.557
QAT,68.159,76.095,66.24,9.756,0.144,99.2,56.811,94.73,0.314,-1.533,1.0,1.0,32.10190054239257,11.8,5.7,0.38,2.771,86.547,0.091,10.473,86.82,86.741,1.194,44.376,0.082,13.767,44.366,11.8244576648228,17.56017783378652,262.394,92651.07,92418.23,45338.141,107833.029,0.185,0.581,0.874,0.927,1.0,0.659,0.848,1.03,0.866,0.841,0.7523608187112154,11.281,9.367,80.23,12.036,9.731,82.01,79.142,14.1,11.342,2.832,2.404,0.043,0.135,9.922,1.05,16.011,1.794,45.0,11.676,9.768,11.2000261261364,0.7603988405319817
ROU,90.783,88.152,93.556,19.57,23.722,54.1,45.315,64.736,3.076,2.764,10.0,6.0,23.633,5.332,6.3,15.426,-3.455,84.56,3.976,14.655,54.662,52.489,21.706,48.199,-2.0365256738072333,43.344,22.93,11.836,22.707,578.934,29908.979,29497.232,24432.831,34845.54,0.276,0.724,0.808,0.862,0.859,0.765,0.828,0.991,0.824,0.831,0.664,10.761,11.407,76.05,14.26,11.071,79.525,72.609,14.697,13.855,19.365,12.71,3.639,0.94,36.211,1.06,23.728,28.628,49.0,0.779,0.964,11.446,0.73
RUS,95.926,96.314,95.728,16.452,5.35,74.6,54.822,70.248,0.614,1.87,2.0,3.0,21.004,4.196,7.1,16.117,-1.28,49.074,4.585,15.258,61.801,58.968,5.757,67.568,0.086,49.593,23.106,10.194,18.752,3968.18,27043.935,26157.047,19693.995,33639.838,0.225,0.789,0.751,0.809,0.841,0.823,0.824,1.007,0.823,0.817,0.683,11.914,12.075,72.58,15.027,12.172,77.785,67.148,15.259,14.805,145.872,97.371,22.019,9.4,20.699,1.06,27.198,22.613,52.0,0.949,1.11,10.016,0.74
RWA,13.137,10.943,15.769,55.66,67.996,17.3,83.932,83.361,2.574,-2.527530345230325,4.0,1.0,27.471,29.3,19.5,1.712,11.184099668194087,53.661,1.03,5.165,83.655,82.793,62.406,28.702,74.211,39.144,26.107,28.729,36.4,28.11,2226.221,2155.334,1876.241,2444.085,0.402,0.324,0.607,0.754,0.464,0.458,0.543,0.945,0.528,0.558,0.295,3.995,4.912,69.02,11.187,4.417,71.132,66.821,11.177,11.199,12.627,7.223,0.382,1.849,39.114,1.02,69.514,5.294,160.0,1.084,1.709,28.4,0.387
SAU,68.848,64.787,72.381,19.868,3.016,84.1,22.115,78.372,0.042,0.575,5.0,4.0,22.095,18.0,6.4,28.585,-0.511,62.163,5.927,16.045,55.88,52.568,2.403,72.919,0.059,13.377,27.317,15.74055510235787,21.632626219245985,1609.323,46962.141,47495.427,16511.712,70180.912,0.252,0.647,0.794,0.848,0.931,0.789,0.854,0.896,0.791,0.883,0.7411938249159202,9.752,10.522,75.13,16.136,10.225,76.759,73.935,16.015,16.233,34.269,24.58,1.169,2.997,7.324,1.03,34.659,4.757,40.0,7.665,2.968,11.113498407513102,0.7687729288495861
SDN,17.539,15.437,19.498,27.536,50.401,34.9,29.103,68.197,2.25,2.307329577839404,10.0,3.0,18.742,42.5,27.4,31.445,-8.307028151627954,26.722,16.535,32.204,48.439,40.43,39.939,43.842,21.502,20.006,19.328,34.706,33.0,169.475,3958.468,3828.66,1981.088,5679.456,0.545,0.198,0.506,0.697,0.551,0.345,0.51,0.86,0.466,0.542,0.369,3.344,4.19,65.31,7.884,3.77,67.187,63.467,7.727,8.25,42.813,24.068,1.553,6.246,63.993,1.04,71.43,6.452,170.0,2.386,1.555,34.3,0.333
SEN,17.825,10.26,26.476,41.818,64.628,47.7,35.048,57.514,10.697,-2.6947645953634947,10.0,3.0,28.656,46.364,21.2,8.208,14.299348359444437,60.506,6.604,37.57,45.684,42.667,30.046,56.45,59.954,42.955,32.781,32.031,25.891,55.324,3394.869,3309.386,2270.997,4400.5,0.533,0.185,0.581,0.738,0.529,0.345,0.512,0.87,0.475,0.546,0.392,1.867,4.622,67.94,8.585,3.183,69.918,65.757,8.938,8.241,16.296,8.81,0.505,2.585,72.725,1.04,79.242,5.731,168.0,1.234,1.377,31.152,0.348
